Frame Index,Area Convex (px^2),Area Measured (px^2),Area (microns^2),Width (px),Height (px),Width (microns),Height (microns),Aspect Ratio,Porosity,Brightness,Deformation,Inertia Ratio,Principal Inertia Ratio,Poisson Ratio
436,1848.5,1812.0,201.3333,41,61,13.6667,20.3333,0.6721,1.0201,117.9204,0.0975,2.2771,0.4375,0.8198
437,1560.0,1507.5,167.5,39,52,13.0,17.3333,0.75,1.0348,116.3393,0.1109,1.8328,0.537,0.866
438,1945.0,1915.5,212.8333,42,60,14.0,20.0,0.7,1.0154,119.4354,0.0843,2.0644,0.4834,0.8367
439,2058.5,2021.5,224.6111,44,62,14.6667,20.6667,0.7097,1.0183,123.388,0.0872,2.1108,0.4719,0.8424
440,1936.0,1904.5,211.6111,42,61,14.0,20.3333,0.6885,1.0165,121.1896,0.0825,2.1439,0.4644,0.8298
441,1446.0,1397.5,155.2778,40,47,13.3333,15.6667,0.8511,1.0347,120.676,0.0922,1.4529,0.686,0.9225
442,793.5,777.5,86.3889,41,27,13.6667,9.0,1.5185,1.0206,121.4548,0.1317,0.5075,0.5072,1.2323
443,2437.5,2390.0,265.5556,45,72,15.0,24.0,0.625,1.0199,118.6727,0.1052,2.5997,0.3833,0.7906
444,2709.0,2670.5,296.7222,42,82,14.0,27.3333,0.5122,1.0144,126.3882,0.1253,3.8306,0.2608,0.7157
445,1630.5,1569.5,174.3889,39,56,13.0,18.6667,0.6964,1.0389,123.5863,0.1119,2.0798,0.4527,0.8345
446,2717.5,2641.5,293.5,43,87,14.3333,29.0,0.4943,1.0288,122.7171,0.1684,4.5319,0.2191,0.703
447,1938.5,1905.0,211.6667,43,58,14.3333,19.3333,0.7414,1.0176,122.6948,0.0765,1.8585,0.538,0.861
448,2571.0,2450.0,272.2222,37,94,12.3333,31.3333,0.3936,1.0494,119.9041,0.2289,7.1757,0.139,0.6274
449,2202.5,2143.0,238.1111,36,80,12.0,26.6667,0.45,1.0278,121.3651,0.201,5.5048,0.18,0.6708
450,5429.5,5320.0,591.1111,55,126,18.3333,42.0,0.4365,1.0206,118.9648,0.1743,5.6429,0.1768,0.6607
451,3471.5,3376.0,375.1111,52,79,17.3333,26.3333,0.6582,1.0283,120.0402,0.1091,2.3359,0.4279,0.8113
452,2555.0,2513.0,279.2222,41,79,13.6667,26.3333,0.519,1.0167,120.8088,0.1305,3.8251,0.2607,0.7204
453,874.5,854.5,94.9444,33,34,11.0,11.3333,0.9706,1.0234,121.9416,0.0925,1.1537,0.8507,0.9852
454,2394.0,2345.5,260.6111,37,82,12.3333,27.3333,0.4512,1.0207,125.2593,0.1541,4.9991,0.1997,0.6717
455,1037.5,1019.0,113.2222,27,47,9.0,15.6667,0.5745,1.0182,119.0538,0.1132,3.0653,0.3262,0.7579
456,1389.5,1345.0,149.4444,30,58,10.0,19.3333,0.5172,1.0331,124.9427,0.1366,3.8408,0.2601,0.7192
457,2092.5,2051.5,227.9444,42,65,14.0,21.6667,0.6462,1.02,122.4629,0.0969,2.4694,0.3991,0.8038
458,849.0,833.0,92.5556,34,31,11.3333,10.3333,1.0968,1.0192,117.9299,0.0764,0.8244,0.8196,1.0473
