Frame Index ,Area (microns^2) ,Centroid X (microns) ,Centroid Y (microns) ,Width (microns) ,Height (microns) ,Aspect Ratio ,Solidity
          0 ,      70890000.0 ,                 650 ,                 980 ,            480 ,             760 ,      0.6316 ,  0.9757
          1 ,      61761000.0 ,                 660 ,                1810 ,            460 ,             700 ,      0.6571 ,  0.9824
          2 ,      49623000.0 ,                 650 ,                 240 ,            440 ,             540 ,      0.8148 ,  0.9816
          3 ,      56839500.0 ,                 640 ,                 730 ,            460 ,             650 ,      0.7077 ,  0.9811
          5 ,     198798000.0 ,                 650 ,                1030 ,            800 ,            1240 ,      0.6452 ,  0.9874
          6 ,      50005500.0 ,                 620 ,                 130 ,            790 ,             330 ,      2.3939 ,  0.9811
          7 ,      95982000.0 ,                 660 ,                1430 ,            570 ,             830 ,      0.6867 ,  0.9888
          8 ,      46818000.0 ,                 650 ,                 160 ,            610 ,             380 ,      1.6053 ,  0.9718
          9 ,      82951500.0 ,                 650 ,                1490 ,            500 ,             820 ,      0.6098 ,  0.9859
         10 ,      53932500.0 ,                 630 ,                1820 ,            420 ,             630 ,      0.6667 ,  0.9841
         11 ,      99195000.0 ,                 580 ,                1730 ,            610 ,            1040 ,      0.5865 ,  0.9127
         12 ,        535500.0 ,                 720 ,                1040 ,             10 ,              10 ,      1.0    ,  0.9127
         13 ,      84532500.0 ,                 540 ,                 960 ,            610 ,             730 ,      0.8356 ,  0.9457
         14 ,      24174000.0 ,                 530 ,                  70 ,            720 ,             180 ,      4.0    ,  0.8668
         15 ,      99118500.0 ,                 710 ,                1810 ,            570 ,             950 ,      0.6    ,  0.9101
         16 ,     111358500.0 ,                 670 ,                 520 ,            610 ,             970 ,      0.6289 ,  0.9772
         17 ,      59568000.0 ,                 670 ,                1240 ,            430 ,             710 ,      0.6056 ,  0.9783
         18 ,      71833500.0 ,                 680 ,                1870 ,            540 ,             690 ,      0.7826 ,  0.9824
         19 ,      69666000.0 ,                 660 ,                 320 ,            510 ,             660 ,      0.7727 ,  0.9818
         20 ,      67039500.0 ,                 640 ,                1500 ,            520 ,             660 ,      0.7879 ,  0.9861
         21 ,      79407000.0 ,                 620 ,                1020 ,            450 ,             900 ,      0.5    ,  0.9826
         22 ,      91366500.0 ,                 630 ,                1550 ,            590 ,             800 ,      0.7375 ,  0.9846
         23 ,      56788500.0 ,                 640 ,                1450 ,            450 ,             670 ,      0.6716 ,  0.9811
         24 ,      76219500.0 ,                 660 ,                1800 ,            570 ,             690 ,      0.8261 ,  0.9874
         25 ,      69411000.0 ,                 630 ,                 270 ,            560 ,             600 ,      0.9333 ,  0.9825
         26 ,      49648500.0 ,                 630 ,                1480 ,            470 ,             550 ,      0.8545 ,  0.9804
         27 ,      44472000.0 ,                 610 ,                2290 ,            390 ,             550 ,      0.7091 ,  0.9764
         28 ,      50439000.0 ,                 590 ,                 710 ,            430 ,             620 ,      0.6935 ,  0.9787
         29 ,      72012000.0 ,                 670 ,                2010 ,            510 ,             730 ,      0.6986 ,  0.9858
         30 ,      66606000.0 ,                 660 ,                 450 ,            530 ,             660 ,      0.803  ,  0.9831
         31 ,      81702000.0 ,                 660 ,                1980 ,            500 ,             830 ,      0.6024 ,  0.9824
         32 ,      81243000.0 ,                 640 ,                 460 ,            530 ,             810 ,      0.6543 ,  0.9755
         33 ,      58956000.0 ,                 650 ,                1760 ,            460 ,             660 ,      0.697  ,  0.98
         34 ,      61735500.0 ,                 600 ,                2140 ,            490 ,             640 ,      0.7656 ,  0.982
         35 ,      60256500.0 ,                 590 ,                 570 ,            480 ,             630 ,      0.7619 ,  0.9851
         36 ,      86827500.0 ,                 650 ,                1860 ,            550 ,             800 ,      0.6875 ,  0.9855
         37 ,      83079000.0 ,                 630 ,                 370 ,            560 ,             760 ,      0.7368 ,  0.9753
         39 ,      63010500.0 ,                 620 ,                1210 ,            460 ,             680 ,      0.6765 ,  0.9809
         40 ,      85068000.0 ,                 660 ,                2260 ,            630 ,             690 ,      0.913  ,  0.9846
         43 ,      67345500.0 ,                 640 ,                1630 ,            470 ,             730 ,      0.6438 ,  0.9833
         44 ,      40621500.0 ,                 620 ,                 180 ,            460 ,             420 ,      1.0952 ,  0.9804
         45 ,      57273000.0 ,                 610 ,                1710 ,            420 ,             700 ,      0.6    ,  0.977
         46 ,      57604500.0 ,                 670 ,                1500 ,            470 ,             660 ,      0.7121 ,  0.9807
         47 ,      76959000.0 ,                 700 ,                2130 ,            520 ,             740 ,      0.7027 ,  0.9867
